segment_id,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,osmid,lat_u,long_u,lat_v,long_v,length,oneway,highway
6.0,9.031554390956758,21.230788165005738,21.744715076327346,19.745712911430925,23.07117712784601,22.623930468316058,21.73780954232465,23.953076316509534,16.391942075416473,20.55107962362785,22.606305969439575,21.18572341409268,21.255152674014145,19.56965888840598,25.89475957450012,25.204147885040662,19.237009763082778,23029696,12.970899,77.6048004,12.9717915,77.604417,107.589,True,secondary
7.0,26.32937298459634,29.35769515527036,28.05675147668196,26.008100816661972,15.333588522657566,25.66893700942138,25.19559390205741,24.71806424198491,21.424194720618193,21.718872990992587,23.168178376668575,19.73925904587377,13.689553568681134,20.129088895542132,22.385633778333396,19.1064764166892,20.537865216782087,1096797091,12.970899,77.6048004,12.9714821,77.6060749,152.56900000000002,True,primary
14.0,35.523494456405686,39.56519844128385,37.30820676805713,33.33774416897405,33.142640638517555,32.586123880641956,18.481723086334316,16.774515286693877,31.33625725655782,25.169775259613477,24.727237307328874,29.951803804490368,23.05825043364693,21.062375581702046,29.197161103960962,30.966079855794362,28.156422414756353,1082927840,12.9548955,77.6053905,12.9563761,77.6057304,168.923,True,primary
18.0,40.55875405019635,41.6553557093183,38.95001179134207,39.635068282377,37.39007415309155,35.489191090675114,27.584884916075268,37.070346203441275,34.073207628936665,33.63343887913882,34.947362505140894,31.154845162892578,34.90194760765857,34.65184292304923,35.75594552419247,36.7860897287434,37.596829424667455,461556479,12.9706127,77.5068443,12.9698616,77.5065177,90.707,True,primary
37.0,30.267233368991384,33.068946830327924,29.48997690909207,29.231498744080394,28.309713616625913,29.128733874388082,28.655891100715024,25.61573499579878,23.805653541342608,29.214812815864455,24.106583894371,27.780272215453216,31.201519102143326,27.586663910457855,30.257866365331967,31.60521089017596,24.27581208170497,461556479,12.9717297,77.5076555,12.9706127,77.5068443,152.238,True,primary
46.0,38.791936007869886,40.44374534568053,38.82313070265744,39.019802954856424,34.42648317986094,34.4600117082127,33.73880776625164,28.098213924147814,38.55826170961089,27.56831908983082,32.571954137395274,31.25297841391989,33.55655546951131,33.44014534600182,34.520857400913535,35.42228249933843,34.356963312673706,1148452207,12.9706305,77.5068078,12.9711111,77.5070886,61.495,True,primary
52.0,33.193332217836584,33.40725466759326,24.7719541102319,29.61399815184343,28.91671135376003,26.84420048483782,24.98013488073989,23.921759211346952,26.538126978689867,29.669397117273768,26.222657271265923,24.77539969910701,24.573341952561645,22.624138793948262,26.85153094218774,25.024056597794374,26.046437406558997,1148452207,12.9797574,77.510698,12.982051,77.5109921,258.822,True,primary
57.0,21.45226832538673,21.374361541449332,25.173174065599124,22.80191519413303,23.605385578377593,18.946345499322835,19.120409696139728,17.237086309663884,21.331920689433026,14.789168785670723,15.933254952839823,15.85464523317648,12.892594885096488,18.703570230451536,15.383007039100304,15.079608183294408,19.729339989529684,1165647533,12.9665523,77.505087,12.966042,77.5049642,58.296,True,primary
62.0,29.70031764288816,29.88458152291086,29.204371087579663,28.384069308624923,26.72117334563033,27.24302200823509,26.522266663587683,26.516115643729766,26.18243914354749,25.894203366567574,27.393620544759248,26.120822496620395,26.026479688046134,27.069776504920267,26.273848171401163,26.903190881448342,27.683827959833398,461556479,12.974244,77.5091991,12.9719573,77.5077955,296.302,True,primary
77.0,37.13956918316899,35.92053704076951,32.43877793308536,31.72145214568859,28.42377007613379,27.825491498623546,25.756065128365385,27.0372475204583,22.730667486515344,28.687006200706044,25.01092838545841,25.93880085607093,21.601642069228784,22.177529877360524,19.886132386970804,19.412136945711932,26.013976534758473,461556501,12.9611772,77.5107713,12.9608897,77.5123254,173.352,True,secondary
81.0,37.085039912513885,35.2764433575598,31.274575348958567,33.276537743673316,25.921112222054937,24.9791547074115,22.933358415806406,23.11692555099543,20.922075640621582,19.861917505798292,28.8350808113308,23.268907840483923,27.254763477746824,17.427944277737467,25.130732342306125,10.606402412170773,17.013428702681992,763175325,12.9615523,77.5888332,12.9612225,77.5885002,51.449,True,secondary
82.0,30.614005694597775,33.992208611907174,29.314098167512803,30.251270488002795,33.670805875288686,28.033280427961632,32.430973149975124,28.003190867945634,26.98658410020641,26.294716189713096,36.3319071904428,29.4739582838903,28.551481354292683,32.890934722897356,28.274582847919053,25.795585733462595,31.94909221857688,486731320,12.9445332,77.4950045,12.9442106,77.4948321,40.445,True,primary
85.0,35.0702330127003,36.16787851952485,33.05338195899681,33.61922911803321,35.36596533757305,31.304877341305854,21.94383680917788,34.65673355984327,33.804027917423234,37.28013442359127,35.44797468159026,31.694771074212834,30.489775484032027,30.418646743900823,31.082191205299768,28.790702071606493,35.61866479183677,289095167,12.9393552,77.4929522,12.9389484,77.4928902,45.73,True,primary
87.0,14.715392541934346,15.897571004510855,14.669715412629465,14.581169063862975,13.4043334800725,13.9870201626492,12.969732820489366,12.548509300852816,13.864266557933181,13.191377181665919,15.809636986344504,14.244509938759292,12.962763877900702,11.739869069239196,8.929057389461482,14.876479746494836,15.35121508207113,"[1063107303, 289095167]",12.93275,77.4881646,12.931903,77.4877917,103.921,True,primary
89.0,26.07904886002845,23.07116734204638,25.18665248831457,24.84869396537185,26.075671688678774,19.776544637960942,24.99192128183165,26.351061323233086,24.87957247534773,23.09098612793315,20.614105944614536,20.85397260040175,23.18490268493233,22.147158391344917,15.483141186581697,24.807575274608936,19.36243603987957,1063107303,12.931903,77.4877917,12.9298538,77.4871742,237.519,True,primary
